id;nda;Promotoria de Justiça;Comarca;Endereço;Sala;e-mail;Telefones;Celular;Situação;Titular;Motivo Afastamento Titular DG;Responsável Atual;Entrância;Atribuições;Resolução;url_resolucao;Coord_PJs
1;.;1ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;Fórum Doutor Heitor Moraes Fleury, Goiânia, GO;sala 827 A;1promotoria@mpgo.mp.br;"(62) 3236 1833; (62) 3236 1834";(62) 99432-9791;PROVIDA;Marísia Sobral Costa Massieux;;;FINAL;"Atuação perante a 1ª e a 2ª Vara de Sucessões e nos autos de habilitação de casamento;";;;
2;.;2ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;Edifício sede do Ministério Público, Goiânia, GO;sala T 49 B ;2promotoria@mpgo.mp.br;"(62) 3243 8475; (62) 3243 8805";(62) 99414 6822;PROVIDA;Suzete Prager de Oliveira Freitas;;;FINAL;"Atuação em matéria de competência da 2ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 13ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
3;.;3ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;Fórum Criminal, Goiânia, GO;Sala 203-B;3promotoria@mpgo.mp.br;;;PROVIDA;Mozart Brum Silva;;;FINAL;"Atuação perante a 1ª Vara Criminal dos crimes apenados com detenção, crimes de trânsito, crimes contra a ordem tributária e crimes contra vítimas hipervulneráveis (Crianças e Adolescentes, Pessoas com Deficiência, Idosos) da comarca de Goiânia, concorrentemente com a 28ª Promotoria de Justiça;";;;
4;.;4ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;Juizado da Infância e Juventude, Goiânia, GO;;4promotoria@mpgo.mp.br;"(62) 3285 5429; (62) 3285 5439";(62) 99433 4621;PROVIDA;Frederico Augusto de Oliveira Santos;;;FINAL;"Atuação em matéria infracional junto ao Juizado da Infância e Juventude, além de promover o inquérito civil e a ação civil pública para a proteção dos interesses individuais, difusos ou coletivos relativos à infância e à adolescência, inclusive os definidos no artigo 220, § 3º, inciso II, da Constituição Federal e realizar visitas e fiscalização de locais de internação e semiliberdade, concorrentemente com as 52ª e 75ª Promotorias de Justiça;";;;
5;.;5ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;5promotoria@mpgo.mp.br;;;PROVIDA;Eduardo Abdon Moura;;;FINAL;"Atuação em matéria cível de competência da 2ª e 5ª Varas da Fazenda Pública Estadual; atuação em matéria cível de competência da 3ª e 6ª Varas da Fazenda Pública Estadual, concorrentemente com a 10ª Promotoria de Justiça; atuação perante o 1º Juizado Especial da Fazenda Pública, exclusivamente nos feitos relacionados à Fazenda Pública Estadual; atuação perante o 3º Juizado Especial da Fazenda Pública, exclusivamente nos feitos relacionados à Fazenda Pública Estadual, concorrentemente com a 10ª Promotoria de Justiça;";;;
6;.;6ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;6promotoria@mpgo.mp.br;;;PROVIDA;Wilsomar Alves Moreira;;;FINAL;"Atuação perante a 6ª Vara de Família;";;;
7;.;7ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;7promotoria@mpgo.mp.br;;;PROVIDA;Alice de Almeida Freire;;;FINAL;"Atuação em defesa de interesses difusos, coletivos, individuais homogêneos, nas questões relativas ao meio ambiente, urbanismo, patrimônio histórico, turístico, estético, cultural, paisagístico e urbanísticos, nas esferas cível e criminal, concorrentemente com as 8ª, 15ª e 81ª Promotorias de Justiça;";;;
8;.;8ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;8promotoria@mpgo.mp.br;;;PROVIDA;Carlos Alexandre Marques;;;FINAL;"Atuação em defesa de interesses difusos, coletivos, individuais homogêneos, nas questões relativas ao meio ambiente, urbanismo, patrimônio histórico, turístico, estético, cultural, paisagístico e urbanísticos, nas esferas cível e criminal, concorrentemente com as 7ª, 15ª e 81ª Promotorias de Justiça;";;;
9;.;9ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;9promotoria@mpgo.mp.br;;;PROVIDA;Geibson Cândido Martins Rezende;;;FINAL;"Tutela das fundações e das associações beneficentes, com atuação concorrente e subsidiária com as demais Promotorias de Justiça cíveis e criminais, quando o ato ou fato repercutir em sua área de atuação;";;;
10;.;10ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;10promotoria@mpgo.mp.br;;;PROVIDA;Marta Maia de Menezes Vicentini;;;FINAL;"Atuação em matéria cível de competência da 1ª e 4ª Varas da Fazenda Pública Estadual; atuação em matéria cível de competência da 3ª e 6ª Varas da Fazenda Pública Estadual, concorrentemente com a 5ª Promotoria de Justiça; atuação perante o 2º Juizado Especial da Fazenda Pública, exclusivamente nos feitos relacionados à Fazenda Pública Estadual; atuação perante o 3º Juizado Especial da Fazenda Pública, exclusivamente nos feitos relacionados à Fazenda Pública Estadual, concorrentemente com a 5ª Promotoria de Justiça;";;;
